pais,anio,years_since_2016,porcentaje_internet,grupo_18 a 25 anos de edad,grupo_26 a 50 anos de edad,grupo_51 a 65 anos,grupo_66 anos en adelante,grupo_edad de medicion a 17 anos
Costa Rica,2020,4,91,0,1,0,0,0
Costa Rica,2020,4,76,0,0,1,0,0
Costa Rica,2020,4,39,0,0,0,1,0
Costa Rica,2021,5,82,0,0,0,0,1
Costa Rica,2021,5,95,1,0,0,0,0
Costa Rica,2021,5,92,0,1,0,0,0
Costa Rica,2021,5,80,0,0,1,0,0
Costa Rica,2021,5,46,0,0,0,1,0
Costa Rica,2022,6,78,0,0,0,0,1
Costa Rica,2022,6,94,1,0,0,0,0
Costa Rica,2022,6,92,0,1,0,0,0
Costa Rica,2022,6,83,0,0,1,0,0
Costa Rica,2022,6,51,0,0,0,1,0
Ecuador,2016,0,66,0,0,0,0,1
Ecuador,2016,0,80,1,0,0,0,0
Ecuador,2016,0,57,0,1,0,0,0
Ecuador,2016,0,27,0,0,1,0,0
Ecuador,2016,0,7,0,0,0,1,0
Ecuador,2017,1,65,0,0,0,0,1
Ecuador,2017,1,83,1,0,0,0,0
Ecuador,2017,1,63,0,1,0,0,0
Ecuador,2017,1,30,0,0,1,0,0
Ecuador,2017,1,7,0,0,0,1,0
Ecuador,2018,2,54,0,0,0,0,1
Ecuador,2018,2,82,1,0,0,0,0
Ecuador,2018,2,68,0,1,0,0,0
Ecuador,2018,2,39,0,0,1,0,0
Ecuador,2018,2,14,0,0,0,1,0
Ecuador,2019,3,54,0,0,0,0,1
Ecuador,2019,3,85,1,0,0,0,0
Ecuador,2019,3,73,0,1,0,0,0
Ecuador,2019,3,46,0,0,1,0,0
Ecuador,2019,3,16,0,0,0,1,0
El Salvador,2016,0,41,0,0,0,0,1
El Salvador,2016,0,45,1,0,0,0,0
El Salvador,2016,0,26,0,1,0,0,0
El Salvador,2016,0,12,0,0,1,0,0
El Salvador,2016,0,3,0,0,0,1,0
El Salvador,2017,1,45,0,0,0,0,1
El Salvador,2017,1,55,1,0,0,0,0
El Salvador,2017,1,34,0,1,0,0,0
El Salvador,2017,1,15,0,0,1,0,0
El Salvador,2017,1,4,0,0,0,1,0
El Salvador,2018,2,48,0,0,0,0,1
El Salvador,2018,2,63,1,0,0,0,0
El Salvador,2018,2,44,0,1,0,0,0
El Salvador,2018,2,22,0,0,1,0,0
El Salvador,2018,2,8,0,0,0,1,0
El Salvador,2019,3,58,0,0,0,0,1
El Salvador,2019,3,73,1,0,0,0,0
El Salvador,2019,3,56,0,1,0,0,0
El Salvador,2019,3,31,0,0,1,0,0
El Salvador,2019,3,13,0,0,0,1,0
Honduras,2016,0,24,0,0,0,0,1
Honduras,2016,0,51,1,0,0,0,0
Honduras,2016,0,33,0,1,0,0,0
Honduras,2016,0,14,0,0,1,0,0
Honduras,2016,0,4,0,0,0,1,0
Honduras,2018,2,28,0,0,0,0,1
Honduras,2018,2,60,1,0,0,0,0
Honduras,2018,2,43,0,1,0,0,0
Honduras,2018,2,25,0,0,1,0,0
Honduras,2018,2,8,0,0,0,1,0
Honduras,2019,3,27,0,0,0,0,1
Honduras,2019,3,62,1,0,0,0,0
Honduras,2019,3,51,0,1,0,0,0
Honduras,2019,3,30,0,0,1,0,0
Honduras,2019,3,12,0,0,0,1,0
México,2016,0,59,0,0,0,0,1
México,2016,0,65,1,0,0,0,0
México,2016,0,63,0,1,0,0,0
México,2016,0,54,0,0,1,0,0
México,2016,0,39,0,0,0,1,0
México,2017,1,64,0,0,0,0,1
México,2017,1,71,1,0,0,0,0
México,2017,1,68,0,1,0,0,0
México,2017,1,58,0,0,1,0,0
México,2017,1,41,0,0,0,1,0
México,2018,2,64,0,0,0,0,1
México,2018,2,71,1,0,0,0,0
México,2018,2,68,0,1,0,0,0
México,2018,2,58,0,0,1,0,0
México,2018,2,41,0,0,0,1,0
México,2019,3,70,0,0,0,0,1
México,2019,3,76,1,0,0,0,0
México,2019,3,74,0,1,0,0,0
México,2019,3,67,0,0,1,0,0
México,2019,3,48,0,0,0,1,0
México,2020,4,73,0,0,0,0,1
México,2020,4,77,1,0,0,0,0
México,2020,4,76,0,1,0,0,0
México,2020,4,68,0,0,1,0,0
México,2020,4,52,0,0,0,1,0
México,2021,5,77,0,0,0,0,1
México,2021,5,81,1,0,0,0,0
México,2021,5,79,0,1,0,0,0
México,2021,5,72,0,0,1,0,0
México,2021,5,55,0,0,0,1,0
México,2022,6,79,0,0,0,0,1
México,2022,6,84,1,0,0,0,0
México,2022,6,82,0,1,0,0,0
México,2022,6,75,0,0,1,0,0
México,2022,6,57,0,0,0,1,0
Panamá,2016,0,69,0,0,0,0,1
Panamá,2016,0,72,1,0,0,0,0
Panamá,2016,0,59,0,1,0,0,0
Panamá,2016,0,36,0,0,1,0,0
Panamá,2016,0,11,0,0,0,1,0
Panamá,2017,1,72,0,0,0,0,1
Panamá,2017,1,79,1,0,0,0,0
Panamá,2017,1,68,0,1,0,0,0
Panamá,2017,1,41,0,0,1,0,0
Panamá,2017,1,14,0,0,0,1,0
Panamá,2018,2,70,0,0,0,0,1
Panamá,2018,2,79,1,0,0,0,0
Panamá,2018,2,70,0,1,0,0,0
Panamá,2018,2,49,0,0,1,0,0
Panamá,2018,2,18,0,0,0,1,0
Panamá,2019,3,73,0,0,0,0,1
Panamá,2019,3,80,1,0,0,0,0
Panamá,2019,3,72,0,1,0,0,0
Panamá,2019,3,51,0,0,1,0,0
Panamá,2019,3,20,0,0,0,1,0
Panamá,2022,6,81,0,0,0,0,1
Panamá,2022,6,89,1,0,0,0,0
Panamá,2022,6,84,0,1,0,0,0
Panamá,2022,6,73,0,0,1,0,0
Panamá,2022,6,39,0,0,0,1,0
Paraguay,2016,0,44,0,0,0,0,1
Paraguay,2016,0,81,1,0,0,0,0
Paraguay,2016,0,63,0,1,0,0,0
Paraguay,2016,0,26,0,0,1,0,0
Paraguay,2016,0,7,0,0,0,1,0
Paraguay,2017,1,50,0,0,0,0,1
Paraguay,2017,1,85,1,0,0,0,0
Paraguay,2017,1,73,0,1,0,0,0
Paraguay,2017,1,34,0,0,1,0,0
Paraguay,2017,1,11,0,0,0,1,0
Paraguay,2018,2,51,0,0,0,0,1
Paraguay,2018,2,88,1,0,0,0,0
Paraguay,2018,2,78,0,1,0,0,0
Paraguay,2018,2,42,0,0,1,0,0
Paraguay,2018,2,13,0,0,0,1,0
Paraguay,2019,3,55,0,0,0,0,1
Paraguay,2019,3,91,1,0,0,0,0
Paraguay,2019,3,82,0,1,0,0,0
Paraguay,2019,3,49,0,0,1,0,0
Paraguay,2019,3,13,0,0,0,1,0
Paraguay,2020,4,71,0,0,0,0,1
Paraguay,2020,4,90,1,0,0,0,0
Paraguay,2020,4,85,0,1,0,0,0
Paraguay,2020,4,55,0,0,1,0,0
Paraguay,2020,4,19,0,0,0,1,0
Paraguay,2021,5,70,0,0,0,0,1
Paraguay,2021,5,92,1,0,0,0,0
Paraguay,2021,5,89,0,1,0,0,0
Paraguay,2021,5,61,0,0,1,0,0
Paraguay,2021,5,25,0,0,0,1,0
Paraguay,2022,6,64,0,0,0,0,1
Paraguay,2022,6,91,1,0,0,0,0
Paraguay,2022,6,88,0,1,0,0,0
Paraguay,2022,6,64,0,0,1,0,0
Paraguay,2022,6,29,0,0,0,1,0
Perú,2016,0,50,0,0,0,0,1
Perú,2016,0,75,1,0,0,0,0
Perú,2016,0,45,0,1,0,0,0
Perú,2016,0,23,0,0,1,0,0
Perú,2016,0,7,0,0,0,1,0
Perú,2017,1,51,0,0,0,0,1
Perú,2017,1,79,1,0,0,0,0
Perú,2017,1,50,0,1,0,0,0
Perú,2017,1,26,0,0,1,0,0
Perú,2017,1,8,0,0,0,1,0
Perú,2018,2,52,0,0,0,0,1
Perú,2018,2,82,1,0,0,0,0
Perú,2018,2,57,0,1,0,0,0
